,Unnamed: 0,ライブ配信の位置（秒）,ライブ同時視聴者数,チャット メッセージ数
0,13,780,54,0
1,14,840,59,0
2,15,900,65,0
3,16,960,63,5
4,17,1020,63,2
5,18,1080,68,1
6,19,1140,68,2
7,20,1200,71,1
8,21,1260,71,1
9,22,1320,72,0
10,23,1380,88,0
11,24,1440,93,0
12,25,1500,90,0
13,26,1560,87,1
14,27,1620,91,0
15,28,1680,91,1
16,29,1740,104,0
17,30,1800,104,0
18,31,1860,107,0
19,32,1920,116,0
20,33,1980,122,2
21,34,2040,137,1
22,35,2100,188,4
23,36,2160,234,7
24,37,2220,246,1
25,38,2280,244,5
26,39,2340,185,7
27,40,2400,160,3
28,41,2460,140,3
29,42,2520,151,1
30,43,2580,128,3
31,44,2640,121,1
32,45,2700,125,3
33,46,2760,121,1
34,47,2820,121,2
35,48,2880,131,3
36,49,2940,136,1
37,50,3000,156,2
38,51,3060,167,1
39,52,3120,167,1
40,53,3180,163,0
41,54,3240,157,1
42,55,3300,159,1
43,56,3360,168,1
44,57,3420,182,1
45,58,3480,195,1
46,59,3540,233,1
47,60,3600,271,1
48,61,3660,309,1
49,62,3720,394,5
50,63,3780,394,5
51,64,3840,343,11
52,65,3900,243,13
53,66,3960,238,9
54,67,4020,198,5
55,68,4080,210,4
56,69,4140,192,4
57,70,4200,160,2
58,71,4260,163,3
59,72,4320,162,1
60,73,4380,163,1
61,74,4440,168,2
62,75,4500,167,0
63,76,4560,149,1
64,77,4620,145,5
65,78,4680,149,1
66,79,4740,146,1
67,80,4800,162,2
68,81,4860,181,1
69,82,4920,199,0
70,83,4980,218,3
71,84,5040,259,2
72,85,5100,307,2
73,86,5160,413,7
74,87,5220,514,13
75,88,5280,536,10
76,89,5340,448,12
77,90,5400,370,8
78,91,5460,314,6
79,92,5520,291,2
80,93,5580,289,0
81,94,5640,250,1
82,95,5700,226,0
83,96,5760,209,0
84,97,5820,189,1
85,98,5880,190,1
86,99,5940,191,0
87,100,6000,185,3
88,101,6060,188,1
89,102,6120,199,0
90,103,6180,199,1
91,104,6240,195,2
92,105,6300,212,2
93,106,6360,212,0
94,107,6420,211,0
95,108,6480,232,0
96,109,6540,263,1
97,110,6600,310,1
98,111,6660,361,4
99,112,6720,378,3
100,113,6780,351,2
101,114,6840,312,5
102,115,6900,307,2
103,116,6960,253,0
104,117,7020,247,1
105,118,7080,230,1
106,119,7140,208,0
107,120,7200,211,1
108,121,7260,204,1
109,122,7320,193,0
110,123,7380,211,0
111,124,7440,289,0
112,125,7500,338,1
113,126,7560,379,2
114,127,7620,379,3
115,128,7680,410,3
116,129,7740,447,5
117,130,7800,502,3
118,131,7860,565,2
119,132,7920,637,4
120,133,7980,671,6
121,134,8040,693,5
122,135,8100,750,3
123,136,8160,792,4
124,137,8220,885,4
125,138,8280,1037,1
126,139,8340,1231,11
127,140,8400,1430,21
128,141,8460,1473,5
129,142,8520,1338,7
130,143,8580,1130,7
131,144,8640,1040,3
132,145,8700,935,6
133,146,8760,926,5
134,147,8820,816,3
135,148,8880,746,5
136,149,8940,747,4
137,150,9000,740,4
138,151,9060,733,0
139,152,9120,723,3
140,153,9180,741,2
141,154,9240,737,0
142,155,9300,738,3
143,156,9360,740,1
144,157,9420,760,2
145,158,9480,815,3
146,159,9540,831,2
147,160,9600,848,2
148,161,9660,875,5
149,162,9720,883,5
150,163,9780,863,1
151,164,9840,895,3
152,165,9900,938,3
153,166,9960,1005,1
154,167,10020,1138,5
