,20210804,20210805,20210806,20210807,20210808,20210809,20210813,20210814,20210815,20210816,20211106,20211107,20211115,20211111,20211112,20211113,20211110,20211114,20211125,20211124,20211123,20211122,20211121,20211120,20211129,20211130,20211201,20211202,20211203,20211204,20211205,20211208,20211211,20211209,20211210,20220102,20220106,20220107,20220103,20220105,20220104,20220121,20220122,20220123,20220124,20220125,20220126,20220129,20220130,20220201,20220131,20220204,20220205,20220207,20220208,20220206,20220211,20220216,20220215,20220214,20220213,20220212,20220209,20220223,20220222,20220221,20220219,20220226,20220227,20220302,20220301,20220228,20220220
0,54,53,285,85,409,139,14,17,44,16,0.0,6.0,0,0,0,2,0,2,1,2,2,5,1,12,1,5,14,3,3,0,1,7,2,0,3,48,9,11,98,11,13,2,5,4,0,0,5,1,8,3,3,8,9,2,7,1,15,2,1,2,4,13,0,7,2,5,11,13,36,5,5,7,11
1,59,56,301,85,432,139,15,20,62,21,15.0,27.0,6,4,3,2,3,5,29,31,12,6,6,12,5,5,15,4,6,8,3,10,7,4,6,69,52,27,161,14,20,5,5,8,5,9,6,9,10,5,8,11,17,3,11,6,20,2,5,6,10,19,8,18,7,7,20,39,42,40,8,8,15
2,65,56,313,94,473,142,15,22,88,32,18.0,45.0,8,5,2,2,3,6,47,44,12,6,6,12,6,5,15,8,6,12,5,10,7,7,7,83,68,34,185,18,21,6,6,8,7,10,9,13,13,7,11,12,21,5,14,9,26,5,7,9,11,21,10,21,13,8,25,47,50,53,9,8,14
3,63,59,334,96,478,165,18,26,98,36,31.0,77.0,8,5,2,5,4,3,72,61,14,10,13,14,10,9,13,8,6,11,6,12,6,7,7,94,85,38,218,23,26,7,5,6,9,11,9,14,12,7,13,13,18,7,13,8,28,6,8,9,14,25,12,21,13,9,27,56,62,71,9,8,20
4,63,59,334,95,500,172,18,33,125,52,37.0,129.0,7,6,4,5,3,4,91,88,15,10,15,14,9,9,13,6,6,10,5,12,6,7,7,111,102,44,278,21,38,9,6,5,8,11,9,10,12,9,11,14,21,8,13,7,34,8,8,9,15,26,11,23,11,8,25,79,74,86,10,11,22
5,68,65,339,103,589,165,20,46,166,69,42.0,199.0,11,6,4,5,2,5,93,118,16,11,16,16,9,8,14,10,11,14,4,10,8,7,8,119,114,52,344,24,40,8,6,6,11,13,14,11,10,11,8,15,20,7,16,10,35,11,7,8,14,30,11,26,14,8,26,113,112,124,13,12,25
6,68,70,362,102,626,178,32,48,211,79,49.0,271.0,11,5,4,5,4,5,99,147,16,12,14,17,6,10,13,10,14,14,3,11,11,7,8,134,124,57,378,31,42,7,5,9,11,12,14,11,9,10,14,16,25,7,16,11,38,14,11,9,19,39,13,26,14,8,25,157,156,130,14,10,28
7,71,73,396,100,692,180,35,54,257,79,61.0,242.0,13,5,5,7,6,6,110,147,18,12,17,14,9,11,15,8,17,14,4,11,11,7,7,156,137,65,420,31,45,8,4,9,10,11,17,10,10,12,14,15,26,7,18,8,38,14,11,9,22,39,13,29,17,8,23,198,172,156,14,10,34
8,71,70,430,108,705,185,33,54,287,83,69.0,193.0,10,7,6,7,8,5,129,165,19,12,20,14,12,11,15,8,17,13,3,11,12,9,7,170,149,71,429,33,53,8,8,8,9,12,17,9,11,10,10,15,27,7,16,9,46,15,10,11,27,41,15,29,21,10,25,227,217,186,15,11,35
9,72,77,457,111,706,192,33,55,313,100,78.0,143.0,12,7,5,7,6,8,139,190,19,15,24,13,10,12,19,13,19,15,7,18,11,9,8,174,173,79,430,34,55,14,8,9,13,12,22,9,12,11,10,17,27,8,18,12,51,12,9,11,29,39,14,33,20,11,25,258,263,194,15,11,36
10,88,80,473,104,753,218,36,73,400,105,88.0,124.0,12,8,6,9,7,6,157,217,22,16,26,19,13,16,24,13,17,13,6,18,12,11,10,208,173,88,469,35,59,14,9,13,14,13,24,10,14,11,12,19,31,10,19,13,49,9,8,14,26,37,14,33,16,11,30,255,308,188,15,12,43
11,93,81,461,105,858,218,37,95,501,147,92.0,111.0,13,9,7,9,8,5,160,238,23,18,23,19,13,18,23,15,19,12,5,20,14,12,10,225,169,104,479,33,60,13,10,14,18,14,23,13,18,12,13,20,37,9,22,15,47,12,11,15,29,34,15,32,17,13,30,256,343,213,18,15,41
12,90,85,488,124,858,236,42,100,663,183,96.0,106.0,13,12,7,10,10,5,165,247,20,18,23,21,15,20,24,15,22,12,8,20,15,12,6,244,172,117,512,40,67,14,14,15,19,13,22,12,21,12,12,20,36,11,19,19,47,14,12,20,32,38,14,32,17,12,28,247,359,221,17,15,48
13,87,89,488,124,895,243,42,119,663,222,95.0,103.0,15,12,8,13,12,6,181,249,19,21,28,23,16,24,31,16,22,11,8,25,15,16,7,275,180,125,527,52,84,14,15,15,19,13,24,12,21,12,17,25,39,12,18,20,48,14,15,21,38,51,17,35,15,16,33,262,357,229,19,15,58
14,91,86,479,129,929,250,42,147,728,222,86.0,105.0,16,14,7,13,14,6,181,249,20,21,27,22,16,24,31,16,21,14,4,25,15,16,8,312,203,121,589,52,91,12,15,15,16,14,21,13,21,15,17,25,40,11,18,18,46,14,15,21,39,51,16,35,21,16,39,333,441,267,19,18,60
15,91,91,523,141,952,263,53,153,829,273,91.0,110.0,15,14,7,14,13,6,169,240,20,21,30,27,19,30,36,17,32,17,3,30,15,17,12,312,204,138,589,56,86,11,17,17,15,18,22,15,21,17,24,27,43,14,23,20,49,15,18,19,38,55,17,36,20,20,49,333,441,267,24,19,72
16,104,95,543,152,967,263,53,173,969,334,102.0,112.0,14,12,9,14,13,5,163,228,19,21,29,26,21,30,36,18,32,17,7,30,19,19,14,302,223,140,623,54,94,17,21,22,17,19,22,16,19,20,27,30,41,16,27,25,46,16,19,21,43,55,20,33,24,21,44,407,473,296,28,21,82
17,104,105,556,152,1016,265,64,204,1103,365,122.0,127.0,13,11,10,13,14,7,176,219,21,26,31,29,23,31,39,19,34,16,7,28,18,19,13,285,221,171,657,59,100,17,20,22,17,22,28,13,21,17,30,33,43,15,32,28,52,21,18,22,53,56,21,45,26,25,42,463,480,328,27,25,80
18,107,97,564,150,1061,275,68,194,1104,381,150.0,123.0,13,10,12,14,12,8,239,216,22,30,30,30,21,33,41,21,33,15,6,27,23,20,13,300,232,187,708,58,99,17,25,26,17,22,37,22,29,19,32,35,52,18,41,28,57,24,17,23,50,55,27,46,32,24,47,476,475,346,27,23,81
19,116,97,580,154,1093,290,76,202,1162,418,198.0,125.0,13,13,15,12,13,9,291,280,24,34,33,29,25,30,42,24,33,21,5,29,23,20,15,310,246,193,740,59,99,16,29,25,17,20,41,24,29,24,37,35,62,18,48,28,60,24,16,23,56,65,28,55,34,23,44,505,509,337,27,23,92
20,122,92,614,182,1208,316,80,224,1278,418,295.0,121.0,14,12,14,12,13,10,350,324,27,33,38,30,25,31,39,26,35,24,7,32,24,24,20,347,266,214,798,63,100,15,33,26,19,23,43,37,35,25,36,37,78,19,53,27,63,28,20,23,57,71,29,53,31,29,51,512,489,343,28,26,108
